Paweł,Nowak1,s459,12.02.2000,Informatyka dzienne,Dzienne,1@pjwstk.edu.pl,Adam,Alina
Kaja,Jankowski29,s4816,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,29@pjwstk.edu.pl,Adam,Alina
Justyna,Kowalski30,s4749,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,30@pjwstk.edu.pl,Adam,Alina
Michał,Nowak31,s4432,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,31@pjwstk.edu.pl,Adam,Alina
Kamil,Brzęczyszczykiewicz32,s4757,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,32@pjwstk.edu.pl,Adam,Alina
Marta,Maciejewski33,s4655,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,33@pjwstk.edu.pl,Adam,Alina
Szymon,Jankowski34,s4398,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,34@pjwstk.edu.pl,Adam,Alina
Joanna,Brzęczyszczykiewicz37,s4799,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,37@pjwstk.edu.pl,Adam,Alina
Irena,Maciejewski38,s4626,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,38@pjwstk.edu.pl,Adam,Alina
Adam,Jankowski39,s4446,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,39@pjwstk.edu.pl,Adam,Alina
Kacper,Kowalski40,s4396,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,40@pjwstk.edu.pl,Adam,Alina
Paweł,Nowak41,s4902,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,41@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz42,s4434,12.02.2000,Sztuka Nowych Mediów zaoczne,Zaoczne,42@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski43,s4517,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,43@pjwstk.edu.pl,Adam,Alina
Grzegorz,Jankowski44,s4705,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,44@pjwstk.edu.pl,Adam,Alina
Adrian,Kowalski45,s4661,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,45@pjwstk.edu.pl,Adam,Alina
Jan,Nowak46,s4842,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,46@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz47,s4709,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,47@pjwstk.edu.pl,Adam,Alina
Iga,Maciejewski48,s4792,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,48@pjwstk.edu.pl,Adam,Alina
Jakub,Jankowski49,s4789,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,49@pjwstk.edu.pl,Adam,Alina
Maria,Kowalski50,s4708,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,50@pjwstk.edu.pl,Adam,Alina
Artur,Nowak51,s4404,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,51@pjwstk.edu.pl,Adam,Alina
Sabina,Brzęczyszczykiewicz52,s4513,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,52@pjwstk.edu.pl,Adam,Alina
Łukasz,Maciejewski53,s4442,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,53@pjwstk.edu.pl,Adam,Alina
Marcin,Jankowski54,s4732,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,54@pjwstk.edu.pl,Adam,Alina
Rafał,Kowalski55,s4506,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,55@pjwstk.edu.pl,Adam,Alina
Jan,Nowak56,s4649,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,56@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz57,s4755,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,57@pjwstk.edu.pl,Adam,Alina
Julia,Maciejewski58,s4890,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,58@pjwstk.edu.pl,Adam,Alina
Karol,Jankowski59,s4594,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,59@pjwstk.edu.pl,Adam,Alina
Katarzyna,Nowak61,s4925,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,61@pjwstk.edu.pl,Adam,Alina
Marzena,Brzęczyszczykiewicz62,s4748,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,62@pjwstk.edu.pl,Adam,Alina
Filip,Maciejewski63,s4720,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,63@pjwstk.edu.pl,Adam,Alina
Karolina,Jankowski64,s4423,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,64@pjwstk.edu.pl,Adam,Alina
Mateusz,Kowalski65,s4299,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,65@pjwstk.edu.pl,Adam,Alina
Magdalena,Nowak66,s4629,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,66@pjwstk.edu.pl,Adam,Alina
Igor,Brzęczyszczykiewicz67,s4889,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,67@pjwstk.edu.pl,Adam,Alina
Bogumiła,Maciejewski68,s4831,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,68@pjwstk.edu.pl,Adam,Alina
Paweł,Jankowski69,s4478,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,69@pjwstk.edu.pl,Adam,Alina
Marta,Kowalski70,s4718,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,70@pjwstk.edu.pl,Adam,Alina
Kamil,Nowak71,s4741,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,71@pjwstk.edu.pl,Adam,Alina
Beata,Brzęczyszczykiewicz72,s4444,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,72@pjwstk.edu.pl,Adam,Alina
Kacper,Maciejewski73,s4552,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,73@pjwstk.edu.pl,Adam,Alina
Gustaw,Jankowski74,s4462,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,74@pjwstk.edu.pl,Adam,Alina
Arkadiusz,Kowalski75,s4414,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,75@pjwstk.edu.pl,Adam,Alina
Sonia,Nowak76,s4508,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,76@pjwstk.edu.pl,Adam,Alina
Sandra,Brzęczyszczykiewicz77,s4800,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,77@pjwstk.edu.pl,Adam,Alina
Małgorzata,Maciejewski78,s4429,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,78@pjwstk.edu.pl,Adam,Alina
Kiyomi,Jankowski79,s4927,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,79@pjwstk.edu.pl,Adam,Alina
Konrad,Kowalski80,s4502,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,80@pjwstk.edu.pl,Adam,Alina
Tomasz,Nowak81,s4744,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,81@pjwstk.edu.pl,Adam,Alina
Maciej,Brzęczyszczykiewicz82,s4477,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,82@pjwstk.edu.pl,Adam,Alina
Katarzyna,Maciejewski83,s4736,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,83@pjwstk.edu.pl,Adam,Alina
Klaudia,Jankowski84,s4849,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,84@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski85,s4819,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,85@pjwstk.edu.pl,Adam,Alina
Sebastian,Nowak86,s4445,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,86@pjwstk.edu.pl,Adam,Alina
Kamil,Brzęczyszczykiewicz87,s4707,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,87@pjwstk.edu.pl,Adam,Alina
Jagna,Maciejewski88,s4764,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,88@pjwstk.edu.pl,Adam,Alina
Izabela,Jankowski89,s4722,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,89@pjwstk.edu.pl,Adam,Alina
Mateusz,Kowalski90,s4452,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,90@pjwstk.edu.pl,Adam,Alina
Daria,Nowak91,s4545,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,91@pjwstk.edu.pl,Adam,Alina
Agnieszka,Brzęczyszczykiewicz92,s4771,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,92@pjwstk.edu.pl,Adam,Alina
Iwona,Maciejewski93,s4706,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,93@pjwstk.edu.pl,Adam,Alina
Aleksandra,Jankowski94,s4772,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,94@pjwstk.edu.pl,Adam,Alina
Tomasz,Kowalski95,s3374,12.02.2000,Informatyka dzienne,Dzienne,95@pjwstk.edu.pl,Adam,Alina
Jolanta,Nowak96,s4756,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,96@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz97,s4457,12.02.2000,Sztuka Nowych Mediów dzienne,Dzienne,97@pjwstk.edu.pl,Adam,Alina
Paweł,Brzęczyszczykiewicz252,s4412,12.02.2000,Informatyka dzienne po angielsku,Dzienne,252@pjwstk.edu.pl,Adam,Alina
Dariusz,Maciejewski253,s4525,12.02.2000,Informatyka dzienne,Dzienne,253@pjwstk.edu.pl,Adam,Alina
Kamil,Jankowski254,s4836,12.02.2000,Informatyka dzienne,Dzienne,254@pjwstk.edu.pl,Adam,Alina
Łukasz,Kowalski255,s4788,12.02.2000,Informatyka dzienne,Dzienne,255@pjwstk.edu.pl,Adam,Alina
Tomasz,Nowak256,s4474,12.02.2000,Informatyka dzienne po angielsku,Dzienne,256@pjwstk.edu.pl,Adam,Alina
Michał,Brzęczyszczykiewicz257,s4454,12.02.2000,Informatyka dzienne,Dzienne,257@pjwstk.edu.pl,Adam,Alina
Patryk,Maciejewski258,s4443,12.02.2000,Informatyka dzienne,Dzienne,258@pjwstk.edu.pl,Adam,Alina
Bhagirath,Jankowski259,s4851,12.02.2000,Informatyka dzienne,Dzienne,259@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski260,s4579,12.02.2000,Informatyka dzienne,Dzienne,260@pjwstk.edu.pl,Adam,Alina
Marek,Nowak261,s4461,12.02.2000,Informatyka dzienne,Dzienne,261@pjwstk.edu.pl,Adam,Alina
Przemysław,Brzęczyszczykiewicz262,s4747,12.02.2000,Informatyka dzienne,Dzienne,262@pjwstk.edu.pl,Adam,Alina
Marcin,Maciejewski263,s4762,12.02.2000,Informatyka dzienne,Dzienne,263@pjwstk.edu.pl,Adam,Alina
Zuzanna,Jankowski264,s4413,12.02.2000,Zarządzanie informacją dzienne (kierunek Zarządzanie),Dzienne,264@pjwstk.edu.pl,Adam,Alina
Michał,Kowalski265,s4490,12.02.2000,Informatyka dzienne,Dzienne,265@pjwstk.edu.pl,Adam,Alina
Wojciech,Nowak266,s4554,12.02.2000,Informatyka dzienne po angielsku,Dzienne,266@pjwstk.edu.pl,Adam,Alina
Enkh-Amgalan,Brzęczyszczykiewicz267,s4340,12.02.2000,Informatyka dzienne,Dzienne,267@pjwstk.edu.pl,Adam,Alina
Adrian,Maciejewski268,s4586,12.02.2000,Informatyka dzienne,Dzienne,268@pjwstk.edu.pl,Adam,Alina
Bartosz,Jankowski269,s4798,12.02.2000,Informatyka dzienne,Dzienne,269@pjwstk.edu.pl,Adam,Alina
Jakub,Kowalski270,s4711,12.02.2000,Informatyka dzienne,Dzienne,270@pjwstk.edu.pl,Adam,Alina
Sebastian,Nowak271,s4056,12.02.2000,Informatyka dzienne,Dzienne,271@pjwstk.edu.pl,Adam,Alina
Aleksandra,Brzęczyszczykiewicz272,s4549,12.02.2000,Informatyka dzienne,Dzienne,272@pjwstk.edu.pl,Adam,Alina
Piotr,Maciejewski273,s4618,12.02.2000,Informatyka dzienne,Dzienne,273@pjwstk.edu.pl,Adam,Alina
Adrian,Jankowski274,s4530,12.02.2000,Informatyka dzienne,Dzienne,274@pjwstk.edu.pl,Adam,Alina
Andrzej,Kowalski275,s4607,12.02.2000,Informatyka dzienne,Dzienne,275@pjwstk.edu.pl,Adam,Alina
Wojciech,Nowak276,s4459,12.02.2000,Informatyka dzienne,Dzienne,276@pjwstk.edu.pl,Adam,Alina
Monika,Brzęczyszczykiewicz277,s4501,12.02.2000,Informatyka dzienne po angielsku,Dzienne,277@pjwstk.edu.pl,Adam,Alina
Jan,Maciejewski278,s4858,12.02.2000,Informatyka dzienne,Dzienne,278@pjwstk.edu.pl,Adam,Alina
Paweł,Jankowski279,s4578,12.02.2000,Informatyka dzienne,Dzienne,279@pjwstk.edu.pl,Adam,Alina
Bartosz,Kowalski280,s4555,12.02.2000,Informatyka dzienne,Dzienne,280@pjwstk.edu.pl,Adam,Alina
Agata,Nowak281,s4589,12.02.2000,Informatyka dzienne,Dzienne,281@pjwstk.edu.pl,Adam,Alina
Matthew,Brzęczyszczykiewicz282,s4945,12.02.2000,Informatyka dzienne,Dzienne,282@pjwstk.edu.pl,Adam,Alina
Piotr,Maciejewski283,s4556,12.02.2000,Informatyka dzienne po angielsku,Dzienne,283@pjwstk.edu.pl,Adam,Alina
Grzegorz,Jankowski284,s4504,12.02.2000,Informatyka dzienne po angielsku,Dzienne,284@pjwstk.edu.pl,Adam,Alina
Sebastian,Kowalski285,s4505,12.02.2000,Informatyka dzienne,Dzienne,285@pjwstk.edu.pl,Adam,Alina
Filip,Nowak286,s4105,12.02.2000,Informatyka dzienne,Dzienne,286@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz287,s4487,12.02.2000,Informatyka dzienne,Dzienne,287@pjwstk.edu.pl,Adam,Alina
Artur,Maciejewski288,s4498,12.02.2000,Informatyka dzienne,Dzienne,288@pjwstk.edu.pl,Adam,Alina
Piotr,Jankowski289,s4471,12.02.2000,Informatyka dzienne,Dzienne,289@pjwstk.edu.pl,Adam,Alina
Małgorzata,Kowalski290,s4855,12.02.2000,Informatyka dzienne,Dzienne,290@pjwstk.edu.pl,Adam,Alina
Arkadiusz,Nowak291,s4752,12.02.2000,Informatyka dzienne,Dzienne,291@pjwstk.edu.pl,Adam,Alina
Jakub,Brzęczyszczykiewicz292,s4770,12.02.2000,Informatyka dzienne,Dzienne,292@pjwstk.edu.pl,Adam,Alina
Adam,Maciejewski293,s4476,12.02.2000,Informatyka dzienne,Dzienne,293@pjwstk.edu.pl,Adam,Alina
Tomasz,Jankowski294,s4724,12.02.2000,Informatyka dzienne,Dzienne,294@pjwstk.edu.pl,Adam,Alina
Piotr,Kowalski295,s4754,12.02.2000,Informatyka dzienne,Dzienne,295@pjwstk.edu.pl,Adam,Alina
Michał,Nowak296,s4769,12.02.2000,Informatyka dzienne,Dzienne,296@pjwstk.edu.pl,Adam,Alina
Maciej,Brzęczyszczykiewicz297,s4499,12.02.2000,Informatyka dzienne,Dzienne,297@pjwstk.edu.pl,Adam,Alina
Jakub,Maciejewski298,s4733,12.02.2000,Informatyka dzienne,Dzienne,298@pjwstk.edu.pl,Adam,Alina
